alert_key,medication_key,stock_after_txn,critical_stock_level,alert_message,created_at,is_resolved,resolved_at,resolved_note
1,25,19,22,Critical stock reached for TRAMADOL_50M. Current stock: 19,2026-05-13 01:48:13,0,,
2,19,29,29,Critical stock reached for SUMATRIPTAN_. Current stock: 29,2026-05-13 01:48:13,0,,
3,25,15,22,Critical stock reached for TRAMADOL_50M. Current stock: 15,2026-05-13 01:48:13,0,,
4,19,28,29,Critical stock reached for SUMATRIPTAN_. Current stock: 28,2026-05-13 01:48:13,0,,
5,25,11,22,Critical stock reached for TRAMADOL_50M. Current stock: 11,2026-05-13 01:48:13,0,,
6,21,24,24,Critical stock reached for NAPROXEN_500. Current stock: 24,2026-05-13 01:48:13,0,,
7,21,23,24,Critical stock reached for NAPROXEN_500. Current stock: 23,2026-05-13 01:48:13,0,,
8,25,10,22,Critical stock reached for TRAMADOL_50M. Current stock: 10,2026-05-13 01:48:13,0,,
9,21,19,24,Critical stock reached for NAPROXEN_500. Current stock: 19,2026-05-13 01:48:13,0,,
10,25,9,22,Critical stock reached for TRAMADOL_50M. Current stock: 9,2026-05-13 01:48:13,0,,
11,19,25,29,Critical stock reached for SUMATRIPTAN_. Current stock: 25,2026-05-13 01:48:13,0,,
12,21,15,24,Critical stock reached for NAPROXEN_500. Current stock: 15,2026-05-13 01:48:13,0,,
13,25,6,22,Critical stock reached for TRAMADOL_50M. Current stock: 6,2026-05-13 01:48:13,0,,
14,25,2,22,Critical stock reached for TRAMADOL_50M. Current stock: 2,2026-05-13 01:48:13,0,,
15,21,13,24,Critical stock reached for NAPROXEN_500. Current stock: 13,2026-05-13 01:48:13,0,,
16,25,1,22,Critical stock reached for TRAMADOL_50M. Current stock: 1,2026-05-13 01:48:13,0,,
17,21,9,24,Critical stock reached for NAPROXEN_500. Current stock: 9,2026-05-13 01:48:13,0,,
18,23,14,16,Critical stock reached for KALSIYUM_+_D. Current stock: 14,2026-05-13 01:48:13,0,,
19,19,24,29,Critical stock reached for SUMATRIPTAN_. Current stock: 24,2026-05-13 01:48:13,0,,
20,23,12,16,Critical stock reached for KALSIYUM_+_D. Current stock: 12,2026-05-13 01:48:13,0,,
21,21,5,24,Critical stock reached for NAPROXEN_500. Current stock: 5,2026-05-13 01:48:13,0,,
22,23,11,16,Critical stock reached for KALSIYUM_+_D. Current stock: 11,2026-05-13 01:48:13,0,,
23,21,1,24,Critical stock reached for NAPROXEN_500. Current stock: 1,2026-05-13 01:48:13,0,,
24,19,23,29,Critical stock reached for SUMATRIPTAN_. Current stock: 23,2026-05-13 01:48:13,0,,
25,19,21,29,Critical stock reached for SUMATRIPTAN_. Current stock: 21,2026-05-13 01:48:13,0,,
26,23,8,16,Critical stock reached for KALSIYUM_+_D. Current stock: 8,2026-05-13 01:48:13,0,,
27,19,17,29,Critical stock reached for SUMATRIPTAN_. Current stock: 17,2026-05-13 01:48:13,0,,
28,25,0,22,Critical stock reached for TRAMADOL_50M. Current stock: 0,2026-05-13 01:48:13,0,,
29,23,4,16,Critical stock reached for KALSIYUM_+_D. Current stock: 4,2026-05-13 01:48:13,0,,
30,19,14,29,Critical stock reached for SUMATRIPTAN_. Current stock: 14,2026-05-13 01:48:13,0,,
31,19,12,29,Critical stock reached for SUMATRIPTAN_. Current stock: 12,2026-05-13 01:48:13,0,,
32,23,3,16,Critical stock reached for KALSIYUM_+_D. Current stock: 3,2026-05-13 01:48:13,0,,
33,19,9,29,Critical stock reached for SUMATRIPTAN_. Current stock: 9,2026-05-13 01:48:13,0,,
34,16,27,27,Critical stock reached for DICLOFENAC_7. Current stock: 27,2026-05-13 01:48:13,0,,
35,19,6,29,Critical stock reached for SUMATRIPTAN_. Current stock: 6,2026-05-13 01:48:13,0,,
36,19,5,29,Critical stock reached for SUMATRIPTAN_. Current stock: 5,2026-05-13 01:48:13,0,,
37,31,18,20,Critical stock reached for BETAMETAZON_. Current stock: 18,2026-05-13 01:48:13,0,,
38,19,2,29,Critical stock reached for SUMATRIPTAN_. Current stock: 2,2026-05-13 01:48:13,0,,
39,23,1,16,Critical stock reached for KALSIYUM_+_D. Current stock: 1,2026-05-13 01:48:13,0,,
40,16,26,27,Critical stock reached for DICLOFENAC_7. Current stock: 26,2026-05-13 01:48:13,0,,
41,16,22,27,Critical stock reached for DICLOFENAC_7. Current stock: 22,2026-05-13 01:48:13,0,,
42,31,15,20,Critical stock reached for BETAMETAZON_. Current stock: 15,2026-05-13 01:48:13,0,,
43,16,19,27,Critical stock reached for DICLOFENAC_7. Current stock: 19,2026-05-13 01:48:13,0,,
